;artist;bbscore;votescore;black;male;song_no;album_no;first_album;career;bbscore_per_year;unique_words;total_words;avg_wordpersong;avg_uniquewordpersong;charlengs;avg_wordlength;r50_unique_words;r50_total_words;profan_words;gang_words;brand_words;profan_percent;gang_percent;brand_percent;bb100;vote100;positive;negative;anger;anticipation;disgust;fear;joy;sadness;surprise;trust;positive_ps;negative_ps;anger_ps;anticipation_ps;disgust_ps;fear_ps;joy_ps;sadness_ps;surprise_ps;trust_ps;positive_percent;negative_percent;anger_percent;anticipation_percent;disgust_percent;fear_percent;joy_percent;sadness_percent;surprise_percent;trust_percent;profan_ps;gang_ps;brand_ps;topic_music;topic_love;topic_life;topic_real;topic_money;topic_street;topic_sex;topic_music_percent;topic_love_percent;topic_life_percent;topic_real_percent;topic_money_percent;topic_street_percent;topic_sex_percent
0;21savage;59.0;;1.0;1;99;6;2015.0;4.0;14.75;3579;30458;307.65656565656565;138.05050505050505;151534;4.9751789349267845;2324;13974;2461;1598;113;0.08079978987458139;0.05246569045899272;0.00371002692231926;12.394957983193278;0.0;2250;3933;2916;1211;1865;2545;1238;1755;1029;1398;22.72727272727273;39.72727272727273;29.45454545454545;12.232323232323232;18.83838383838384;25.707070707070702;12.505050505050507;17.727272727272727;10.393939393939394;14.12121212121212;0.07387221747980828;0.12912863615470485;0.09573839385383152;0.03975966905246569;0.06123186026659664;0.08355768599382757;0.04064613566222339;0.057620329634250435;0.03378422746076565;0.0458992711274542;24.858585858585855;16.141414141414142;1.1414141414141414;0;7;8;4;49;7;29;0.0;0.0707070707070707;0.08080808080808081;0.04040404040404041;0.494949494949495;0.0707070707070707;0.29292929292929293
1;2chainz;151.0;11.0;1.0;1;209;15;2010.0;9.0;16.77777777777778;6341;51564;246.71770334928232;141.44949494949498;260609;5.054088123497014;2977;12522;2455;1493;268;0.04761073617252347;0.028954309207974555;0.005197424559770383;31.72268907563025;22.0;3893;4356;2969;2339;2018;2172;2016;1959;1244;2345;18.62679425837321;20.84210526315789;14.205741626794259;11.191387559808614;9.655502392344498;10.392344497607656;9.645933014354068;9.373205741626792;5.952153110047848;11.220095693779905;0.07549840974323171;0.08447754247149174;0.057578931037157714;0.0453611046466527;0.03913583120006206;0.04212241098440773;0.039097044449616015;0.03799162206190365;0.024125358777441624;0.04547746489799085;11.746411483253588;7.143540669856459;1.2822966507177034;14;18;20;25;100;9;29;0.06698564593301436;0.0861244019138756;0.09569377990430622;0.11961722488038277;0.4784688995215311;0.0430622009569378;0.13875598086124402
2;2pac;;48.0;1.0;1;269;14;1991.0;28.0;;7088;101964;379.0483271375464;218.12295081967213;532042;5.217939664979797;3430;19080;3986;4955;73;0.03909222862971245;0.04859558275469773;0.0007159389588482209;0.0;96.0;8044;12517;7002;5290;4906;7825;4451;5847;3105;4924;29.903345724907066;46.53159851301115;26.029739776951672;19.66542750929368;18.237918215613387;29.08921933085502;16.54646840148699;21.736059479553905;11.54275092936803;18.30483271375465;0.0788905888352752;0.12275901298497507;0.06867129575144168;0.051881056059001215;0.04811502098779962;0.07674277195873053;0.043652661723745635;0.05734376838884313;0.030451924208544187;0.048291553881762185;14.817843866171005;18.42007434944238;0.2713754646840149;13;13;76;4;0;159;4;0.048327137546468404;0.048327137546468404;0.2825278810408922;0.01486988847583643;0.0;0.5910780669144982;0.01486988847583643
3;50cent;69.0;40.0;1.0;1;326;18;2000.0;19.0;3.6315789473684217;7441;85199;261.34662576687117;161.41139240506328;422376;4.95752297562178;3006;13850;4955;3448;229;0.058157959600464784;0.04046995856758882;0.0026878249744715322;14.495798319327733;80.0;6112;8838;5838;3455;3974;4597;3404;3680;2712;3546;18.74846625766871;27.11042944785276;17.9079754601227;10.598159509202453;12.190184049079758;14.10122699386503;10.441717791411044;11.288343558282211;8.319018404907975;10.877300613496931;0.07173793119637555;0.10373361189685323;0.06852193100857991;0.04055211915632813;0.046643739949999416;0.053956032347797514;0.03995352058122748;0.043192995222948616;0.0318313595229991;0.04162020680993908;15.199386503067483;10.576687116564417;0.7024539877300614;10;42;19;21;19;191;26;0.03067484662576687;0.12883435582822086;0.05828220858895705;0.06441717791411043;0.05828220858895705;0.5858895705521472;0.07975460122699386
4;6ix9ine;37.0;;0.0;1;40;2;2018.0;1.0;37.0;1927;9148;228.7;105.6;47191;5.158613904678618;1927;9148;831;483;21;0.09083952776563184;0.05279842588543944;0.002295583734149541;7.773109243697479;0.0;492;1122;751;240;555;529;282;373;262;282;12.3;28.05;18.775;6.0;13.875;13.225;7.05;9.325;6.55;7.05;0.05378224748578924;0.12264975951027547;0.08209444687363357;0.026235242675994752;0.06066899868823785;0.057826847398338425;0.030826410144293836;0.04077393965894185;0.028640139921294275;0.030826410144293836;20.775;12.075;0.525;0;8;0;0;9;6;19;0.0;0.2;0.0;0.0;0.225;0.15;0.475
5;Big L;;20.0;1.0;1;61;4;1995.0;24.0;;3634;17036;279.27868852459017;204.7377049180328;86819;5.0962080300540045;3346;13984;566;579;29;0.03322376144634892;0.03398685137356187;0.0017022775299366047;0.0;40.0;1176;1714;978;648;664;871;489;745;449;712;19.278688524590162;28.098360655737704;16.0327868852459;10.62295081967213;10.885245901639344;14.278688524590164;8.01639344262295;12.21311475409836;7.360655737704918;11.672131147540984;0.06903028880018784;0.10061047194177036;0.057407842216482735;0.03803709791030759;0.03897628551303123;0.05112702512326837;0.028703921108241368;0.04373092275181968;0.02635595210143226;0.041793848321202164;9.278688524590164;9.491803278688524;0.4754098360655738;9;1;1;1;0;48;1;0.14754098360655737;0.01639344262295082;0.01639344262295082;0.01639344262295082;0.0;0.7868852459016393;0.01639344262295082
6;Big Pun;;5.0;0.0;1;57;3;1998.0;21.0;;4059;16946;297.29824561403507;216.5;91647;5.408178921279359;3807;14938;570;707;49;0.03363625634367992;0.04172076006137142;0.002891537826035643;0.0;10.0;1335;1860;1055;713;719;1144;635;749;487;839;23.421052631578952;32.631578947368425;18.508771929824558;12.508771929824562;12.614035087719298;20.07017543859649;11.140350877192983;13.140350877192983;8.543859649122806;14.719298245614036;0.07877965301546087;0.10976041543727133;0.062256579723828635;0.042074825917620684;0.04242889177386994;0.06750855659152602;0.03747196978638027;0.04419922105511625;0.0287383453322318;0.04951020889885519;10.0;12.403508771929824;0.8596491228070176;16;4;3;0;0;33;1;0.2807017543859649;0.07017543859649122;0.05263157894736842;0.0;0.0;0.5789473684210527;0.017543859649122806
7;Common;;7.0;1.0;1;172;12;1992.0;27.0;;7190;45370;263.77906976744185;177.20348837209306;242320;5.340974212034384;3804;13484;773;1011;90;0.01703769010359268;0.022283447211813967;0.0019836896627727575;0.0;14.0;4289;3510;1827;2156;1234;1822;2318;1573;1146;2441;24.93604651162791;20.406976744186046;10.622093023255816;12.534883720930234;7.174418604651162;10.593023255813952;13.476744186046512;9.145348837209305;6.662790697674419;14.19186046511628;0.0945338329292484;0.07736389684813752;0.040268900154286975;0.047520387921534055;0.027198589376239802;0.04015869517302182;0.05109102931452501;0.034670487106017195;0.02525898170597311;0.05380207185364778;4.494186046511628;5.877906976744187;0.5232558139534884;83;9;58;6;1;13;2;0.48255813953488375;0.05232558139534884;0.3372093023255814;0.03488372093023256;0.005813953488372093;0.0755813953488372;0.011627906976744186
8;DMX;;34.0;1.0;1;224;11;1998.0;21.0;;5537;56590;252.63392857142856;156.7409090909091;279030;4.930729810920657;2640;13082;3045;1887;32;0.053808093302703655;0.03334511397773458;0.0005654709312599397;0.0;68.0;3930;5846;3554;2310;2723;2933;1932;2453;1470;2441;17.544642857142858;26.098214285714285;15.866071428571427;10.3125;12.15625;13.09375;8.625;10.950892857142858;6.5625;10.897321428571427;0.06944689874536138;0.10330447075455028;0.06280261530305707;0.040819932850326916;0.04811804205690051;0.05182894504329387;0.034140307474818866;0.04334688107439477;0.02597632090475349;0.04313482947517229;13.59375;8.424107142857142;0.14285714285714285;11;6;61;2;1;127;16;0.049107142857142856;0.026785714285714284;0.27232142857142855;0.008928571428571428;0.004464285714285714;0.5669642857142857;0.07142857142857142
9;Eazy-E;;37.0;1.0;1;59;6;1988.0;31.0;;2734;16519;279.9830508474576;169.22448979591837;83973;5.083419093165446;2620;13985;978;619;20;0.05920455233367637;0.03747200193716327;0.001210727041588474;0.0;74.0;954;1943;1123;581;854;848;423;620;419;640;16.16949152542373;32.932203389830505;19.033898305084747;9.847457627118645;14.47457627118644;14.372881355932204;7.169491525423728;10.508474576271187;7.101694915254238;10.847457627118645;0.0577516798837702;0.11762213209032026;0.0679823233851928;0.03517162055814517;0.05169804467582784;0.05133482656335129;0.025606876929596224;0.03753253828924269;0.025364731521278532;0.03874326533083117;16.576271186440678;10.491525423728813;0.3389830508474576;3;2;1;0;0;48;5;0.05084745762711865;0.03389830508474576;0.01694915254237288;0.0;0.0;0.8135593220338984;0.0847457627118644
