;YEAR;profan_words;gang_words;brand_words;song_no;album_no;unique_words;total_words;profan_percent;gang_percent;brand_percent;avg_wordpersong;charlengs;avg_wordlength;avg_uniquewordpersong;positive;negative;anger;anticipation;disgust;fear;joy;sadness;surprise;trust;profan_ps;gang_ps;brand_ps;positive_ps;negative_ps;anger_ps;anticipation_ps;disgust_ps;fear_ps;joy_ps;sadness_ps;surprise_ps;trust_ps;topic_music;topic_love;topic_life;topic_real;topic_money;topic_street;topic_sex;topic_music_percent;topic_love_percent;topic_life_percent;topic_real_percent;topic_money_percent;topic_street_percent;topic_sex_percent
0;1985.0;9;80;6;10;1;1253;2717;0.003312476996687523;0.02944423997055576;0.002208317997791682;271.7;15406;5.670224512329775;189.8;342;206;117;125;92;82;143;88;87;171;0.9;8.0;0.6;34.2;20.6;11.7;12.5;9.2;8.2;14.3;8.8;8.7;17.1;6.0;1.0;3.0;0.0;0.0;0.0;0.0;0.6;0.1;0.3;0.0;0.0;0.0;0.0
1;1987.0;10;142;3;10;1;1384;3448;0.0029002320185614852;0.04118329466357309;0.0008700696055684454;344.8;18064;5.238979118329467;224.4;314;264;142;124;106;144;113;132;87;146;1.0;14.2;0.3;31.4;26.4;14.2;12.4;10.6;14.4;11.3;13.2;8.7;14.6;9.0;1.0;0.0;0.0;0.0;0.0;0.0;0.9;0.1;0.0;0.0;0.0;0.0;0.0
2;1988.0;275;251;8;19;1;1289;6147;0.044737270213112086;0.04083292663087685;0.001301447860745079;323.5263157894737;31054;5.05189523344721;199.8333333333333;368;754;457;223;345;336;143;226;164;249;14.473684210526313;13.210526315789476;0.42105263157894735;19.36842105263158;39.68421052631579;24.052631578947373;11.73684210526316;18.157894736842106;17.684210526315788;7.526315789473684;11.894736842105265;8.631578947368421;13.105263157894735;3.0;0.0;0.0;0.0;0.0;15.0;1.0;0.15789473684210525;0.0;0.0;0.0;0.0;0.7894736842105263;0.05263157894736842
3;1989.0;36;187;5;19;1;1966;6016;0.005984042553191489;0.03108377659574468;0.0008311170212765958;316.63157894736844;32139;5.342253989361702;198.42105263157902;603;520;295;228;165;304;277;237;194;309;1.8947368421052633;9.842105263157897;0.2631578947368421;31.73684210526316;27.36842105263158;15.526315789473687;12.0;8.684210526315791;16.0;14.578947368421053;12.473684210526313;10.210526315789474;16.263157894736842;10.0;1.0;4.0;1.0;0.0;3.0;0.0;0.5263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842;0.0;0.15789473684210525;0.0
4;1990.0;175;222;12;28;2;2432;8068;0.021690629647992062;0.02751611303916708;0.0014873574615765991;288.14285714285717;41219;5.108948934060488;190.75;690;728;390;337;265;348;351;307;248;415;6.25;7.928571428571429;0.42857142857142855;24.642857142857146;26.0;13.928571428571427;12.035714285714285;9.464285714285714;12.428571428571427;12.535714285714285;10.964285714285712;8.857142857142858;14.821428571428573;9.0;2.0;0.0;2.0;0.0;13.0;2.0;0.32142857142857145;0.07142857142857142;0.0;0.07142857142857142;0.0;0.4642857142857143;0.07142857142857142
5;1991.0;478;414;10;40;3;2635;10789;0.04430438409491149;0.038372416349986095;0.0009268699601445916;269.725;56932;5.2768560570951895;180.05405405405406;709;1365;746;447;517;760;339;555;280;544;11.95;10.35;0.25;17.725;34.125;18.65;11.175;12.925;19.0;8.475;13.875;7.0;13.6;10.0;0.0;4.0;0.0;0.0;23.0;3.0;0.25;0.0;0.1;0.0;0.0;0.575;0.075
6;1992.0;816;589;28;61;5;3886;17597;0.046371540603511965;0.03347161447974086;0.0015911803148263909;288.47540983606564;91489;5.199124850826847;193.58620689655172;1058;2019;1095;636;821;809;492;802;516;698;13.377049180327868;9.655737704918034;0.459016393442623;17.344262295081972;33.09836065573771;17.950819672131146;10.426229508196721;13.459016393442626;13.262295081967213;8.065573770491802;13.147540983606556;8.459016393442623;11.442622950819672;13.0;0.0;0.0;1.0;0.0;44.0;3.0;0.21311475409836064;0.0;0.0;0.01639344262295082;0.0;0.7213114754098361;0.04918032786885246
7;1993.0;859;784;24;94;7;4373;25588;0.03357042363607941;0.030639362201031733;0.0009379396592152572;272.21276595744683;132045;5.160426762544943;165.06593406593407;2006;2563;1378;1009;858;1327;1131;1101;735;1206;9.138297872340424;8.340425531914894;0.2553191489361702;21.34042553191489;27.26595744680851;14.659574468085106;10.73404255319149;9.127659574468085;14.117021276595745;12.031914893617019;11.712765957446807;7.819148936170214;12.829787234042554;16.0;13.0;9.0;1.0;0.0;51.0;4.0;0.1702127659574468;0.13829787234042554;0.09574468085106383;0.010638297872340425;0.0;0.5425531914893617;0.0425531914893617
8;1994.0;1367;1044;60;128;8;5271;32255;0.04238102619748877;0.03236707487211285;0.0018601767167880949;251.9921875;170973;5.300666563323517;169.0;2320;3227;1778;1290;1356;1534;1175;1385;761;1325;10.6796875;8.15625;0.46875;18.125;25.2109375;13.890625;10.078125;10.59375;11.984375;9.1796875;10.8203125;5.9453125;10.3515625;35.0;13.0;10.0;0.0;1.0;65.0;4.0;0.2734375;0.1015625;0.078125;0.0;0.0078125;0.5078125;0.03125
9;1995.0;1080;1151;35;126;10;5281;33093;0.03263530051672558;0.03478076934699181;0.0010576254797086998;262.64285714285717;172887;5.224277037439941;168.17355371900825;2827;3679;1898;1496;1448;1934;1488;1579;1024;1674;8.571428571428571;9.134920634920633;0.2777777777777778;22.436507936507937;29.1984126984127;15.063492063492065;11.873015873015873;11.492063492063492;15.34920634920635;11.809523809523812;12.531746031746032;8.126984126984128;13.285714285714285;19.0;20.0;26.0;1.0;0.0;56.0;4.0;0.15079365079365079;0.15873015873015872;0.20634920634920634;0.007936507936507936;0.0;0.4444444444444444;0.031746031746031744
